trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,14,3.641316691449258,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.9777171247070651}",20,0,-119.05663855517163,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9774011348268636}",20,0,-118.20261478830663,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9770829457945213}",20,0,-66.83606777961343,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9767625583259631}",25,0,-134.8721762302575,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9764399731420608}",20,0,-99.22296957023264,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.9761151909686308}",25,3,-135.57483659771628,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.9757882125364329}",20,0,-55.263570045934635,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9754590385811684}",20,0,-97.44943129426657,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.9751276698434788}",30,0,-237.25432805868408,"{0: 16, 1: 3, 2: 4, 3: 4, 4: 3}",0
151,False,"{'a': 0.5, 'e': 0.9747941070689433}",30,0,-191.1481386766543,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
152,False,"{'a': 0.5, 'e': 0.9744583510080781}",30,0,-106.03514082489384,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.9741204024163344}",20,6,-40.84754267242913,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.9737802620540961}",20,0,-109.15676056099309,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.9734379306866789}",25,0,-59.23222179268534,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9730934090843285}",20,0,-88.21164215735622,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9727466980222181}",20,0,-26.2184032622846,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.9723977982804476}",20,0,-118.199416297319,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",1
159,False,"{'a': 0.5, 'e': 0.9720467106440411}",25,0,-106.4451717686598,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.9716934359029458}",20,7,-34.74815898969905,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-45.46351941418456,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.9709803282910798}",25,0,-89.57953887062502,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.970620497024801}",30,0,-102.40804056038604,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9702584818628133}",20,0,-13.115341248662842,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.9698942836196508}",25,4,-95.13807393522546,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.9695279031147593}",25,0,-166.71538499432774,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.9691593411724948}",35,0,-144.37049719239045,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.9687885986221216}",25,0,-116.72045666179105,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9684156762978101}",25,6,-67.89344633792115,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.9680405750386356}",30,0,-171.18057261261436,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.9676632956885756}",20,0,-82.82100472327141,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9672838390965085}",20,0,-48.70935283494158,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9669022061162116}",35,0,-53.12019332063524,"{0: 27, 1: 5, 2: 2, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.9665183976063587}",35,0,-250.57150632274556,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
175,False,"{'a': 0.5, 'e': 0.966132414430519}",25,0,-122.5644403271125,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.9657442574571544}",20,0,-91.65349166369086,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.965353927559618}",20,0,-45.400110914984616,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.9649614256161518}",20,0,-44.41771473439188,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.9645667525098851}",30,13,-8.131085359466928,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.9641699091288323}",20,12,-19.703386533756035,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.9637708963658905}",25,0,-87.55402171488228,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9633697151188385}",25,0,-129.94891589561848,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
